Time (s),ax,ay,az,gx,gy,gz
10.91290067,0.807000041,-12.05295086,-7.510050297,-1.403187513,0.8162000179,-4.435750008
10.93290067,0.807000041,-12.05295086,-7.510050297,-1.403187513,0.8162000179,-4.435750008
10.95290067,0.807000041,-12.05295086,-7.510050297,-1.403187513,0.8162000179,-4.435750008
10.97290067,0.807000041,-12.05295086,-7.510050297,-1.403187513,0.8162000179,-4.435750008
10.99290067,-4.036950111,-21.79995155,7.387050152,-1.544124961,1.193087459,0.08662500232
11.01290067,-4.036950111,-21.79995155,7.387050152,-1.544124961,1.193087459,0.08662500232
11.03290067,-0.4170000255,-6.787050247,0.1290000081,-4.546575069,0.7565249801,1.294700027
11.05290067,-0.4170000255,-6.787050247,0.1290000081,-4.546575069,0.7565249801,1.294700027
11.07290067,-0.4170000255,-6.787050247,0.1290000081,-4.546575069,0.7565249801,1.294700027
11.09290067,-0.9150000215,-3.666000128,-0.2719500065,-4.546575069,0.7565249801,1.294700027
11.11290067,-0.9150000215,-3.666000128,-0.2719500065,-4.546575069,0.7565249801,1.294700027
11.13290067,-0.9150000215,-3.666000128,-0.2719500065,-0.5726875067,0.6467999816,2.399237394
11.15290067,-0.9150000215,-3.666000128,-0.2719500065,-0.5726875067,0.6467999816,2.399237394
11.17290067,-0.9150000215,-3.666000128,-0.2719500065,0.8256874681,0.7737125158,2.85422492
